"user_agent_dimension_id","user_agent","language","browser","bot"
1,-,unknown,Other,0
2,"Apache-HttpClient/4.2 (java 1.5)","java","",0
3,"Apache-HttpClient/4.2.1 (java 1.5)","java","",0
4,"Apache-HttpClient/4.3 (java 1.5)","java","",0
5,"Apache-HttpClient/4.3.1 (java 1.5)","java","",0
6,"Apache-HttpClient/UNAVAILABLE (java 1.4)","java","",0
7,"curl/7.15.5 (x86_64-redhat-linux-gnu) libcurl/7.15.5 OpenSSL/0.9.8b zlib/1.2.3 libidn/0.6.5","curl","",0
8,"curl/7.19.7 (x86_64-redhat-linux-gnu) libcurl/7.19.7 NSS/3.14.3.0 zlib/1.2.3 libidn/1.18 libssh2/1.4.2","curl","",0
9,"curl/7.19.7 (x86_64-suse-linux-gnu) libcurl/7.19.7 OpenSSL/0.9.8j zlib/1.2.3 libidn/1.10","curl","",0
10,"curl/7.21.4 (universal-apple-darwin11.0) libcurl/7.21.4 OpenSSL/0.9.8y zlib/1.2.5","curl","",0
11,"curl/7.21.6 (x86_64-pc-linux-gnu) libcurl/7.21.6 OpenSSL/1.0.0e zlib/1.2.3.4 libidn/1.22 librtmp/2.3","curl","",0
12,"curl/7.21.7 (x86_64-redhat-linux-gnu) libcurl/7.21.7 NSS/3.13.3.0 zlib/1.2.5 libidn/1.22 libssh2/1.2.7","curl","",0
13,"curl/7.22.0 (i686-pc-linux-gnu) libcurl/7.22.0 OpenSSL/1.0.1 zlib/1.2.3.4 libidn/1.23 librtmp/2.3","curl","",0
14,"curl/7.22.0 (x86_64-pc-linux-gnu) libcurl/7.22.0 OpenSSL/1.0.1 zlib/1.2.3.4 libidn/1.23 librtmp/2.3","curl","",0
15,"curl/7.24.0 (x86_64-apple-darwin12.0) libcurl/7.24.0 OpenSSL/0.9.8r zlib/1.2.5","curl","",0
16,"curl/7.24.0 (x86_64-apple-darwin12.0) libcurl/7.24.0 OpenSSL/0.9.8y zlib/1.2.5","curl","",0
17,"curl/7.26.0","curl","",0
18,"curl/7.27.0","curl","",0
19,"curl/7.28.1","curl","",0
20,"curl/7.29.0","curl","",0
21,"curl/7.30.0","curl","",0
22,"curl/7.32.0","curl","",0
23,"curl/7.33.0","curl","",0
24,"Google-HTTP-Java-Client/1.17.0-rc (gzip)","java","",0
25,"HTTP-Tiny/0.012","perl","",0
26,"HTTP-Tiny/0.013","perl","",0
27,"HTTP-Tiny/0.016","perl","",0
28,"HTTP-Tiny/0.017","perl","",0
29,"HTTP-Tiny/0.022","perl","",0
30,"HTTP-Tiny/0.024","perl","",0
31,"HTTP-Tiny/0.025","perl","",0
32,"HTTP-Tiny/0.028","perl","",0
33,"HTTP-Tiny/0.029","perl","",0
34,"HTTP-Tiny/0.031","perl","",0
35,"HTTP-Tiny/0.034","perl","",0
36,"HTTP-Tiny/0.035","perl","",0
37,"HTTP-Tiny/0.036","perl","",0
38,"HTTP-Tiny/0.037","perl","",0
39,"HTTP-Tiny/0.039","perl","",0
40,"HTTPClient/1.0 (2.3.3, ruby 1.9.3 (2013-02-22))","ruby","",0
41,"HTTP_Request2/2.1.1 (http://pear.php.net/package/http_request2) PHP/5.3.2-1ubuntu4.18","php","",0
42,"Jakarta Commons-HttpClient/3.0.1","java","",0
43,"Java/1.4.1_04","java","",0
44,"Java/1.6.0_10-rc2","java","",0
45,"Java/1.6.0_17","java","",0
46,"Java/1.6.0_20","java","",0
47,"Java/1.6.0_23","java","",0
48,"Java/1.6.0_24","java","",0
49,"Java/1.6.0_25","java","",0
50,"Java/1.6.0_26","java","",0
51,"Java/1.6.0_27","java","",0
52,"Java/1.6.0_31","java","",0
53,"Java/1.6.0_35","java","",0
54,"Java/1.6.0_38","java","",0
55,"Java/1.6.0_51","java","",0
56,"Java/1.6.0_65","java","",0
57,"Java/1.7.0","java","",0
58,"Java/1.7.0_03","java","",0
59,"Java/1.7.0_04","java","",0
60,"Java/1.7.0_07","java","",0
61,"Java/1.7.0_11","java","",0
62,"Java/1.7.0_15","java","",0
63,"Java/1.7.0_17","java","",0
64,"Java/1.7.0_21","java","",0
65,"Java/1.7.0_25","java","",0
66,"Java/1.7.0_40","java","",0
67,"Java/1.7.0_45","java","",0
68,"libcurl-agent/1.0","curl","",0
69,"libwww-perl/6.03","perl","",0
70,"libwww-perl/6.04","perl","",0
71,"LWP::Simple/5.827 libwww-perl/5.834","perl","",0
72,"LWP::Simple/5.835 libwww-perl/5.837","perl","",0
73,"LWP::Simple/6.00 libwww-perl/6.03","perl","",0
74,"LWP::Simple/6.00 libwww-perl/6.04","perl","",0
75,"LWP::Simple/6.00 libwww-perl/6.05","perl","",0
76,"Mojolicious (Perl)","perl","",0
77,Mozilla,webbrowser,Other,0
78,"Mozilla/2.0 (compatible; MSIE 3.0B; Win32)",webbrowser,IE,0
79,"Mozilla/3.0 (compatible; AvantGo 3.2)",webbrowser,AvantGo,0
80,"Mozilla/3.0 (compatible; Indy Library)",webbrowser,Other,0
81,"Mozilla/3.0 NAVIO_AOLTV (11; 13; Philips; PH200; 1; R2.0C36_AOL.0110OPTIK; R2.0.0139d_OPTIK)",webbrowser,Other,0
82,Mozilla/4.0,webbrowser,Other,0
83,"Mozilla/4.0   (compatible;   MSIE   7.0;   Windows   NT   5.1;   SV1;   Maxthon;   .NET   CLR   2.0.50727;   .NET   CLR   3.0.04506.30)",webbrowser,Maxthon,0
84,"Mozilla/4.0 (CMS Crawler: http://www.cmscrawler.com)",webbrowser,Other,0
85,"Mozilla/4.0 (compatible; MSIE 4.01; Mac_PowerPC)",webbrowser,IE,0
86,"Mozilla/4.0 (compatible; MSIE 4.01; Windows 98)",webbrowser,IE,0
87,"Mozilla/4.0 (compatible; MSIE 5.00; Windows 98)",webbrowser,IE,0
88,"Mozilla/4.0 (compatible; MSIE 5.01; Windows NT)",webbrowser,IE,0
89,"Mozilla/4.0 (compatible; MSIE 5.0; Windows 98)",webbrowser,IE,0
90,"Mozilla/4.0 (compatible; MSIE 5.0; Windows 98; DigExt; MRA 4.0 (build 00768))",webbrowser,IE,0
91,"Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; .NET CLR 1.0.3705)",webbrowser,IE,0
92,"Mozilla/4.0 (compatible; MSIE 6.0; GomezAgent 2.0; Windows NT)",webbrowser,GomezA,0
93,"Mozilla/4.0 (compatible; MSIE 6.0; MSIE 5.5; Windows 95) Opera 7.03 [de]",webbrowser,Opera,0
94,"Mozilla/4.0 (compatible; MSIE 6.0; MSIE 5.5; Windows NT 5.0) Opera 7.02 Bork-edition [en]",webbrowser,Opera,0
95,"Mozilla/4.0 (compatible; MSIE 6.0; MSIE 5.5; Windows NT 5.1) Opera 7.01 [en]",webbrowser,Opera,0
96,"Mozilla/4.0 (compatible; MSIE 6.0; Win32) WebWasher 3.0",webbrowser,IE,0
97,"Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)",webbrowser,IE,0
98,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 4.0; en) Opera 8.02",webbrowser,Opera,0
99,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0)",webbrowser,IE,0
100,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)",webbrowser,IE,0
101,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; .NET CLR 1.1.4322)",webbrowser,IE,0
102,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; Avast Browser [avastye.com]; .NET CLR 1.1.4322)",webbrowser,IE,0
103,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; en)",webbrowser,IE,0
104,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; en) Opera 8.50",webbrowser,Opera,0
105,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; FunWebProducts-MyWay; (R1 1.3); .NET CLR 1.1.4322)",webbrowser,IE,0
106,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; Maxthon; .NET CLR 1.1.4322)",webbrowser,Maxthon,0
107,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; MRA 4.1 (build 00975))",webbrowser,IE,0
108,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; ru)",webbrowser,IE,0
109,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)",webbrowser,IE,0
110,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1;  Embedded Web Browser from: http://bsalsa.com/; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; SE 2.X MetaSr 1.0)",webbrowser,"Sogou Explorer",0
111,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)",webbrowser,IE,0
112,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)",webbrowser,IE,0
113,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; InfoPath.1)",webbrowser,IE,0
